población,réplica,MCO bruta,IV(h₀) bruta,IV(κ) bruta,"corr(δ, rotación)"
E9,0,0.8879932947395786,0.57109081173358,0.2625882119015426,-0.1787729527823443
E9m,0,0.8448880831115844,0.37214331066528844,0.07917771779306547,0.11373841452685672
E9,1,1.3047036202466247,0.8318184463144314,1.186105116803063,-0.09448863810767716
E9m,1,0.7730376167818733,0.25590565583366565,0.24603914553991532,0.18234322920473042
E9,2,0.8673157675310019,0.21749458041709094,0.04754311881757123,-0.14441493189785196
E9m,2,1.4694909106944007,0.7743559207203865,1.5478338169805892,0.17917572459153666
E9,3,0.6839275565325454,0.17362234002404325,0.39014491435681947,-0.21485119559854968
E9m,3,1.2392077967438486,0.8635698641081331,1.3363927771316453,0.12904318624027858
E9,4,0.9627509962698764,0.4655789643747237,0.5740102213942798,-0.20081005406589095
E9m,4,0.6967137579267294,0.08942427305007926,0.317369623563385,0.18843260172269824
E9,5,0.8508913377133449,0.4812618612121519,0.1872279755239718,-0.14645855304082597
E9m,5,0.8169087117388784,0.15912170697378636,0.05442975316766471,0.20459126611771153
