delta_lo,delta_hi,hold_winners,hold_losers,ratio_losers_winners,n_sold_winners,n_sold_losers,open_winners,open_losers
0.0031047723617944056,0.08691931332996947,118.59551929072106,116.73569493226792,0.9843179205287341,5275,5034,574,1207
0.08691931332996947,0.17531050290696276,121.52038257789872,122.50602855147748,1.0081109518639553,5160,4399,514,1249
0.17531050290696276,0.2667032786795711,124.53650318422034,121.59966394685694,0.9764178440676218,5226,3865,497,1215
0.2667032786795711,0.36905914443376026,120.05735847442784,127.94927285858739,1.0657345329302788,5278,3389,434,1227
0.36905914443376026,0.46444619774237245,122.59053579171666,141.80416189059486,1.156730093190248,5178,3132,448,1274
0.46444619774237245,0.5689673131048135,120.61527664726961,145.2600020182469,1.2043250743688874,5870,2808,425,1406
0.5689673131048135,0.6988092413356043,120.1812688494652,151.22135037395984,1.2582771992811488,6235,2251,374,1499
0.6988092413356043,0.7932636103058348,124.71629429415601,166.43139869342113,1.3344799862388135,6269,1634,308,1562
0.7932636103058348,0.8986261149622062,115.84415754951952,170.43230208063997,1.471220523208396,6099,1160,272,1409
0.8986261149622062,0.9982598776329482,132.3472079493203,189.68986358434063,1.4332743888105182,5457,417,218,1550
