Esc.,mundo,mercado,reversión,dif,dif_ee,b_bruta,b_bruta_ee,b_neta,b_costos
S1,0,6.006848951481502,0.03140247618310021,0.0002716935937889797,0.00048139581756456723,0.1637492402420935,0.5531074408082705,-1.0034213204765992,1.1671705607187517
S3,0,6.006848951481502,0.03140247618310021,0.08383331621257191,0.000977090522014133,4.466479703665159,0.6363193416828349,3.4878513670583584,0.9786283366070219
S5,0,6.006848951481502,0.03140247618310021,-0.00036763918095711334,0.0003059140813618442,-0.10441268520816889,0.18723675515436194,-1.5230269488546446,1.418614263646487
S1,1,1.7308903226363987,0.06508646871547517,0.0008248531349958968,0.00044073505584212345,-0.24892134691267445,0.5832428819747157,-1.3478525493088342,1.0989312023961608
S3,1,1.7308903226363987,0.06508646871547517,0.08232678946431805,0.0009314900292938436,4.235474736051372,0.6098505649948475,3.2904327467736,0.9450419892777251
S5,1,1.7308903226363987,0.06508646871547517,-0.0004977453021437622,0.0002792632911269055,-0.2197085198237217,0.17319386425025146,-1.548378215108501,1.3286696952847812
S1,2,-0.658721682974021,0.02891181132147596,0.0012044004899139302,0.0004979250719808761,0.5213041102685507,0.5701103703118526,-0.583652896484075,1.1049570067526198
S3,2,-0.658721682974021,0.02891181132147596,0.08224951490402163,0.0010480893055937566,5.4921212139198365,0.6491833248451688,4.546167714087514,0.9459534998323276
S5,2,-0.658721682974021,0.02891181132147596,-0.00012040643995938488,0.00028351258448307894,0.1607101937263109,0.21496725340423903,-1.104227011523646,1.264937205249953
S1,3,-0.7485783325529257,0.0315029592787234,-0.00022221475781001448,0.00046907240472596,-0.827624426212151,0.5080014794524628,-2.070576840138315,1.242952413926142
S3,3,-0.7485783325529257,0.0315029592787234,0.11231550031505348,0.0015587401886044503,7.487981125211321,0.6463949401484002,6.551615923359683,0.9363652018516789
S5,3,-0.7485783325529257,0.0315029592787234,0.00027137039988248124,0.00030691447042692174,0.08703625426689207,0.1991161562828365,-1.4597894322816378,1.5468256865485104
S1,4,-4.625252316714701,-0.06443416237393508,-0.00020102019533496662,0.0005103024099118063,-0.24407970339182208,0.5725211849388645,-1.6006314292615866,1.3565517258697048
S3,4,-4.625252316714701,-0.06443416237393508,0.11580504097790711,0.0015092957498271569,6.99557305469906,0.8624670267983063,6.008529090280842,0.9870439644182276
S5,4,-4.625252316714701,-0.06443416237393508,-0.0002314369064650712,0.00028486673286239907,0.0479055493489376,0.2133252929139767,-1.7023575344190298,1.7502630837679676
S1,5,25.735075426044865,-0.0010295430133471467,-0.00013914224686094323,0.0005559313736639271,0.5870075979982818,0.6336282857685035,-0.017460610068526058,0.6044682080674288
S3,5,25.735075426044865,-0.0010295430133471467,0.061859249729853426,0.0006755508823504986,1.5833611120553086,0.6768055755890552,0.9622360041171163,0.6211251079397792
S5,5,25.735075426044865,-0.0010295430133471467,-0.00046347958369847425,0.00030505513822294913,-0.018822258660302175,0.2097043743341967,-0.7227266948118158,0.7039044361516688
S1,6,9.387165134023453,0.00808798525545262,-0.0008454408879907116,0.0004987961888569803,0.49108588329867453,0.6024585877407101,-0.4850417939414031,0.9761276772399746
S3,6,9.387165134023453,0.00808798525545262,0.07379890269836877,0.0008079919263292476,4.11193193220055,0.5671996272434705,3.2225496405001204,0.889382291700634
S5,6,9.387165134023453,0.00808798525545262,-0.00012041403408259016,0.00031117958566810366,0.2411989600378523,0.17464107732228867,-0.9004202204321057,1.141619180469929
S1,7,17.163804280541488,0.021334614202241028,4.230574769018697e-05,0.0005047611938643284,-0.9920566885114482,0.6914047836654317,-1.9798442008206076,0.9877875123092039
S3,7,17.163804280541488,0.021334614202241028,0.07407218110324536,0.0008228585512952588,3.0359549343290855,0.6550585899291038,2.1540133346886865,0.8819415996403224
S5,7,17.163804280541488,0.021334614202241028,-0.00014900402732587886,0.0003089070666303561,0.19027697706021515,0.21069017648962507,-0.8680667931721152,1.0583437702323713
S1,8,10.815303296023465,-0.025017996383624664,0.0007261189708477125,0.000514132618760623,0.6611050908690853,0.578472280892107,-0.2376781805797363,0.8987832714488151
S3,8,10.815303296023465,-0.025017996383624664,0.08082284089357565,0.0009547894823827766,3.969201362614235,0.579633139666656,3.1501420951626824,0.8190592674514424
S5,8,10.815303296023465,-0.025017996383624664,-8.152558394973475e-05,0.00028698410099556066,0.2544530052386283,0.20117634614907398,-0.8513903017456822,1.1058433069842868
S1,9,10.779167908044057,0.09596632947778408,0.0006895507374510002,0.0005028724510515532,-1.397769331142752,0.790255647786244,-2.3005591481258167,0.9027898169828353
S3,9,10.779167908044057,0.09596632947778408,0.08340385002593362,0.0009686258994931972,2.6191650404657265,0.7536813458606617,1.8823709036238825,0.736794136841897
S5,9,10.779167908044057,0.09596632947778408,3.86398211674327e-05,0.00030523177143121073,-0.3775953970360627,0.2555239794482638,-1.4811359109823237,1.103540513946292
S1,10,16.143542773402157,0.02220511950815324,-0.00026557148895264837,0.0005079212523023397,0.7455371354020546,0.5648363777404755,-0.3055476755902404,1.0510848109920983
S3,10,16.143542773402157,0.02220511950815324,0.07622785301375765,0.0009347087685098475,3.5335329316373887,0.5326929188972156,2.6224208475214956,0.9111120841157007
S5,10,16.143542773402157,0.02220511950815324,-0.00026678043811879243,0.0003074797039593,0.2605927493413789,0.1957712945451116,-0.953966969332999,1.2145597186742632
S1,11,-16.453000241197984,0.11855443120729203,0.0002539851630884854,0.0005362723622128854,-0.1356747215790391,0.6602212101012108,-1.6955553752187729,1.559880653639628
S3,11,-16.453000241197984,0.11855443120729203,0.13331989282470927,0.0017911353405480664,5.74537056670408,0.9644053122238789,4.638459629344157,1.1069109373597124
S5,11,-16.453000241197984,0.11855443120729203,-8.206844460111745e-05,0.00031826916647730784,-0.07961710082153982,0.2031775795166442,-2.0414595919419654,1.9618424911204022
S1,12,16.324397827583862,-0.0671935917734015,0.00029231641022179483,0.0004763997492290163,0.04006715626329059,0.49011165992049943,-1.1176775314336875,1.157744687697081
S3,12,16.324397827583862,-0.0671935917734015,0.07506085185124713,0.0008082437250667,3.849242780859517,0.5742517331587386,2.8133186320249406,1.03592414883457
S5,12,16.324397827583862,-0.0671935917734015,-0.00029419082861134593,0.00025520322828816595,-0.1024790470184308,0.18511557989663072,-1.432959204678908,1.330480157660515
